('Date', 'Date');('Other', 'tournament-name');('Player', 'p1');('Player', 'p2');('Other', 'maxOdds_1');('Other', 'maxOdds_2');('modelPred', '');confIndexModel_p1;confIndexModel_p2;confIndexModel_max;modelProba1;modelProba2;probaModel_max;valueBetModel;PL_valueBetModel;PL_favoriteBetModel;CUMSUM FAV;OddFav;;ROI;2.68%
2022-08-23 21:00:00;ATP US Open 2022 (hard);Kuzmanov D.;Nardi L.;1.8;2.09;1;1.008;0.9196;1.008;0.56;0.44;0.56;1;0.8;0.8;14.82;1.8;;;
2022-08-23 21:00:00;ATP US Open 2022 (hard);Brancaccio R.;Koepfer D.;4.62;1.25;1;2.5872;0.55;2.5872;0.56;0.44;0.56;1;3.62;3.62;18.44;4.62;;;
2022-08-23 21:00:00;ATP Winston-Salem 2022 (hard);Mannarino A.;Ruusuvuori E.;3.16;1.44;2;1.2008;0.8928;1.2008;0.38;0.62;0.62;1;2.16;-1;17.44;1.44;;;
2022-08-23 21:20:00;ATP US Open 2022 (hard);Forejtek J.;Bonadio R.;1.57;2.61;1;1.0362;0.8874;1.0362;0.66;0.34;0.66;1;-1;-1;16.44;1.57;;;
2022-08-23 21:35:00;ATP Winston-Salem 2022 (hard);Martinez P.;Johnson S.;2.57;1.61;2;1.1308;0.9016;1.1308;0.44;0.56;0.56;1;-1;0.61;17.05;1.61;;;
2022-08-23 21:35:00;ATP US Open 2022 (hard);Moraing M.;Ficovich J. P.;1.77;2.25;1;1.062;0.9;1.062;0.6;0.4;0.6;1;0.77;0.77;17.82;1.77;;;
2022-08-23 21:45:00;ATP Winston-Salem 2022 (hard);Edmund K.;Bonzi B.;3.75;1.36;2;1.2;0.9248;1.2;0.32;0.68;0.68;1;-1;0.36;18.18;1.36;;;
2022-08-23 22:10:00;ATP US Open 2022 (hard);Jarry N.;Diaz Acosta F.;1.3;4.15;1;0.806;1.577;1.577;0.62;0.38;0.62;2;-1;0.3;18.48;1.3;;;
2022-08-23 22:25:00;ATP US Open 2022 (hard);Travaglia S.;Geerts M.;2.36;1.67;1;1.4632;0.6346;1.4632;0.62;0.38;0.62;1;1.36;1.36;19.84;2.36;;;
2022-08-23 22:45:00;ATP US Open 2022 (hard);Wu Y.;Berankis R.;1.7;2.39;1;0.952;1.0516;1.0516;0.56;0.44;0.56;2;-1;0.7;20.54;1.7;;;
2022-08-23 22:50:00;ATP US Open 2022 (hard);Torres J. B.;Fratangelo B.;3.55;1.33;2;1.562;0.7448;1.562;0.44;0.56;0.56;1;-1;0.33;20.87;1.33;;;
2022-08-23 23:05:00;ATP US Open 2022 (hard);Svrcina D.;Lokoli L.;2.21;1.79;2;0.884;1.074;1.074;0.4;0.6;0.6;2;-1;-1;19.87;1.79;;;
2022-08-23 23:40:07;ATP Winston-Salem 2022 (hard);Ymer M.;Huesler M.;1.44;3.2;2;0.6336;1.792;1.792;0.44;0.56;0.56;2;2.2;2.2;22.07;3.2;;;
2022-08-24 00:40:00;ATP Winston-Salem 2022 (hard);Griekspoor T.;Van De Zandschulp B.;2.63;1.55;2;1.052;0.93;1.052;0.4;0.6;0.6;1;-1;0.55;22.62;1.55;;;
2022-08-24 01:20:00;ATP Winston-Salem 2022 (hard);Munar J.;Tseng C. H.;1.57;2.74;2;0.5652;1.7536;1.7536;0.36;0.64;0.64;2;-1;-1;21.62;2.74;;;
2022-08-24 01:50:00;ATP Winston-Salem 2022 (hard);Sonego L.;Tabilo A.;1.37;3.55;1;0.822;1.42;1.42;0.6;0.4;0.6;2;-1;0.37;21.99;1.37;;;
2022-08-24 15:05:00;ATP US Open 2022 (hard);Kolar Z.;Machac T.;6.5;1.21;2;1.69;0.8954;1.69;0.26;0.74;0.74;1;-1;0.21;22.2;1.21;;;
2022-08-24 15:05:00;ATP US Open 2022 (hard);Albot R.;Bhambri Y.;1.21;4.74;1;0.8228;1.5168;1.5168;0.68;0.32;0.68;2;3.74;-1;21.2;1.21;;;
2022-08-24 15:05:00;ATP US Open 2022 (hard);Melzer G.;Kovalik J.;2.28;1.65;1;1.2768;0.726;1.2768;0.56;0.44;0.56;1;-1;-1;20.2;2.28;;;
2022-08-24 15:10:00;ATP US Open 2022 (hard);Bergs Z.;Olivo R.;1.47;3.15;1;0.9408;1.134;1.134;0.64;0.36;0.64;2;-1;0.47;20.67;1.47;;;
